0,0,1.1353,1.1328,1.138,1.1323
1,1,1.1364,1.1303,1.1343,1.1293
2,2,1.1354,1.1318,1.132,1.1278
3,3,1.1388,1.133,1.129,1.1259
4,4,1.1377,1.1341,1.127,1.125
5,5,1.139,1.1358,1.126,1.1253
6,6,1.1408,1.138,1.1253,1.1258
7,7,1.1427,1.1392,1.125,1.1267
8,8,1.1421,1.1371,1.125,1.1275
9,9,1.1344,1.1318,1.124,1.1266
10,10,1.1284,1.124,1.121,1.1229
11,11,1.1178,1.115,1.1154,1.1165
12,12,1.1099,1.1058,1.108,1.1087
13,13,1.0996,1.0966,1.1002,1.1003
14,14,1.0923,1.0877,1.092,1.092
15,15,1.0827,1.079,1.0836,1.0835
20,20,1.0403,1.0383,1.046,1.0458
25,24.8,1.0039,1.0017,1.011,1.0112
30,29.7,0.9703,0.9681,0.979,0.979
35,34.7,0.9415,0.9372,0.95,0.949
40,39.5,0.9091,0.9088,0.922,0.922
